timestamp,event,total_in,total_out,occupancy
2026-03-23 17:18:50,OUT,0,1,0
2026-03-23 17:21:52,IN,1,1,0
2026-03-23 17:22:39,OUT,1,2,0
2026-03-23 17:22:51,IN,2,2,0
2026-03-23 17:23:00,OUT,2,3,0
2026-03-23 17:23:04,IN,3,3,0
2026-03-23 17:23:07,OUT,3,4,0
2026-03-23 17:23:34,OUT,3,5,0
2026-03-23 17:24:42,IN,4,5,0
2026-03-23 17:24:52,OUT,4,6,0
2026-03-23 17:25:00,IN,5,6,0
2026-03-23 17:25:01,OUT,5,7,0
2026-03-23 17:25:06,IN,6,7,0
2026-03-23 17:25:10,OUT,6,8,0
2026-03-23 17:25:20,IN,7,8,0
2026-03-23 17:25:27,OUT,7,9,0
2026-03-23 17:25:28,IN,8,9,0
2026-03-23 17:26:00,OUT,8,10,0
2026-03-23 17:26:24,OUT,8,11,0
2026-03-23 17:26:27,IN,9,11,0
2026-03-23 17:26:28,OUT,9,12,0
2026-03-23 17:26:34,IN,10,12,0
2026-03-23 17:26:43,IN,11,12,0
2026-03-23 17:26:54,IN,12,12,0
2026-03-23 17:27:12,OUT,12,13,0
